year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"California","04000US06","General & operations managers","111021","Male","1",73002,2221.2,112627.0,3081.16
2014,"California","04000US06","General & operations managers","111021","Female","2",35156,1647.03,87461.5,3218.85
2014,"California","04000US06","Compensation & benefits managers","113111","Male","1",407,163.675,147917.0,31600.5
2014,"California","04000US06","Compensation & benefits managers","113111","Female","2",1256,270.899,80112.6,10455.2
2014,"California","04000US06","Human resources managers","113121","Male","1",16930,1020.04,105293.0,5957.87
2014,"California","04000US06","Human resources managers","113121","Female","2",24392,1227.16,88406.8,3128.71
2014,"California","04000US06","Training & development managers","113131","Male","1",2764,495.406,85107.5,12890.8
2014,"California","04000US06","Training & development managers","113131","Female","2",2658,484.083,80396.1,8353.24
2014,"California","04000US06","Emergency management directors","119161","Male","1",449,163.587,88703.3,14617.0
2014,"California","04000US06","Emergency management directors","119161","Female","2",354,141.056,91676.5,12475.9
2014,"California","04000US06","Agents & business managers of artists, performers, & athletes","131011","Male","1",4353,612.565,99008.0,13955.8
2014,"California","04000US06","Agents & business managers of artists, performers, & athletes","131011","Female","2",2549,471.443,86380.8,20791.4
2014,"California","04000US06","Buyers & purchasing agents, farm products","131021","Male","1",542,235.016,89360.4,43055.4
2014,"California","04000US06","Buyers & purchasing agents, farm products","131021","Female","2",362,197.671,47451.3,16337.9
2014,"California","04000US06","Wholesale & retail buyers, except farm products","131022","Male","1",13224,1185.38,57911.2,4959.18
2014,"California","04000US06","Wholesale & retail buyers, except farm products","131022","Female","2",15433,982.378,50007.8,2542.34
2014,"California","04000US06","Purchasing agents, except wholesale, retail, & farm products","131023","Male","1",12240,988.585,66750.9,3060.94
2014,"California","04000US06","Purchasing agents, except wholesale, retail, & farm products","131023","Female","2",14641,851.767,57830.0,2380.91
2014,"California","04000US06","Claims adjusters, appraisers, examiners, & investigators","131030","Male","1",10976,1076.81,66643.8,2872.54
2014,"California","04000US06","Claims adjusters, appraisers, examiners, & investigators","131030","Female","2",19604,1101.58,57175.7,1917.79
2014,"California","04000US06","Compliance officers","131041","Male","1",10952,1058.32,87035.4,4425.01
2014,"California","04000US06","Compliance officers","131041","Female","2",11467,826.042,77238.4,3856.14
2014,"California","04000US06","Cost estimators","131051","Male","1",11953,964.627,77886.6,3712.28
2014,"California","04000US06","Cost estimators","131051","Female","2",2488,512.716,57453.0,7490.38
2014,"California","04000US06","Human resources workers","131070","Male","1",24554,1298.78,80737.9,3644.83
2014,"California","04000US06","Human resources workers","131070","Female","2",60789,2270.5,70137.1,2144.35
2014,"California","04000US06","Logisticians","131081","Male","1",8385,844.217,62186.4,5484.23
2014,"California","04000US06","Logisticians","131081","Female","2",3829,604.516,51085.3,3054.03
2014,"California","04000US06","Management analysts","131111","Male","1",40717,1887.61,117210.0,4759.46
2014,"California","04000US06","Management analysts","131111","Female","2",33063,1724.49,88578.1,3290.85
2014,"California","04000US06","Meeting, convention, & event planners","131121","Male","1",3670,482.192,57184.5,7299.02
2014,"California","04000US06","Meeting, convention, & event planners","131121","Female","2",10698,907.25,57499.2,4033.31
2014,"California","04000US06","Fundraisers","131131","Male","1",2932,484.065,77666.0,8350.68
2014,"California","04000US06","Fundraisers","131131","Female","2",6796,715.73,70742.7,3890.78
2014,"California","04000US06","Compensation, benefits, & job analysis specialists","131141","Male","1",1286,305.813,76791.8,9877.37
2014,"California","04000US06","Compensation, benefits, & job analysis specialists","131141","Female","2",4291,557.55,63730.8,4410.59
2014,"California","04000US06","Training & development specialists","131151","Male","1",5702,731.61,69759.8,4565.35
2014,"California","04000US06","Training & development specialists","131151","Female","2",5937,663.007,61162.0,4569.15
2014,"California","04000US06","Market research analysts & marketing specialists","131161","Male","1",17629,1212.85,112483.0,7172.28
2014,"California","04000US06","Market research analysts & marketing specialists","131161","Female","2",19896,1420.27,77709.6,3350.33
2014,"California","04000US06","Business operations specialists, all other","131199","Male","1",14152,1060.63,89810.1,5134.22
2014,"California","04000US06","Business operations specialists, all other","131199","Female","2",16819,1131.19,64037.0,3444.0
2014,"California","04000US06","Accountants & auditors","132011","Male","1",83800,2716.83,97145.9,2432.22
2014,"California","04000US06","Accountants & auditors","132011","Female","2",147106,3191.47,68747.9,1104.99
2014,"California","04000US06","Appraisers & assessors of real estate","132021","Male","1",4208,605.005,82480.9,10151.0
2014,"California","04000US06","Appraisers & assessors of real estate","132021","Female","2",2125,437.519,62442.7,4840.06
2014,"California","04000US06","Budget analysts","132031","Male","1",1668,292.252,85173.5,7267.83
2014,"California","04000US06","Budget analysts","132031","Female","2",3977,553.071,72636.8,4225.5
2014,"California","04000US06","Credit analysts","132041","Male","1",850,217.283,69579.1,9013.14
2014,"California","04000US06","Credit analysts","132041","Female","2",1726,413.543,68093.5,7709.3
2014,"California","04000US06","Financial analysts","132051","Male","1",6921,714.033,159934.0,14518.6
2014,"California","04000US06","Financial analysts","132051","Female","2",4730,605.669,97276.4,9548.52
2014,"California","04000US06","Personal financial advisors","132052","Male","1",23190,1373.19,154734.0,6910.08
2014,"California","04000US06","Personal financial advisors","132052","Female","2",12513,1040.68,88678.2,6911.33
2014,"California","04000US06","Insurance underwriters","132053","Male","1",3467,521.664,94322.1,10256.8
2014,"California","04000US06","Insurance underwriters","132053","Female","2",6411,718.617,66652.6,3360.59
2014,"California","04000US06","Financial examiners","132061","Male","1",465,170.199,76591.6,17471.6
2014,"California","04000US06","Financial examiners","132061","Female","2",618,219.718,99110.0,20863.0
2014,"California","04000US06","Credit counselors & loan officers","132070","Male","1",16215,1114.58,93087.2,4202.23
2014,"California","04000US06","Credit counselors & loan officers","132070","Female","2",18074,1207.21,65439.4,3335.08
2014,"California","04000US06","Tax examiners & collectors, & revenue agents","132081","Male","1",2846,488.684,67993.8,5226.76
2014,"California","04000US06","Tax examiners & collectors, & revenue agents","132081","Female","2",5331,803.932,57346.0,6069.5
2014,"California","04000US06","Tax preparers","132082","Male","1",4613,523.969,77603.2,10698.4
2014,"California","04000US06","Tax preparers","132082","Female","2",6509,706.871,48754.1,5387.77
2014,"California","04000US06","Other financial specialists","132099","Male","1",3139,434.019,135286.0,16852.7
2014,"California","04000US06","Other financial specialists","132099","Female","2",4037,578.643,77360.8,9464.63
2014,"California","04000US06","Computer & information research scientists","151111","Male","1",1753,346.932,138859.0,17701.9
2014,"California","04000US06","Computer & information research scientists","151111","Female","2",499,182.425,106087.0,24729.4
2014,"California","04000US06","Computer systems analysts","151121","Male","1",33678,1661.07,97989.2,3426.04
2014,"California","04000US06","Computer systems analysts","151121","Female","2",20371,1034.24,79964.9,2252.5
2014,"California","04000US06","Information security analysts","151122","Male","1",3378,503.301,101623.0,12103.9
2014,"California","04000US06","Information security analysts","151122","Female","2",1130,347.402,70329.3,9474.39
2014,"California","04000US06","Computer programmers","151131","Male","1",43757,2150.84,97293.4,2485.09
2014,"California","04000US06","Computer programmers","151131","Female","2",10442,984.505,83718.0,3976.69
2014,"California","04000US06","Web developers","151134","Male","1",14597,1090.82,74526.8,4014.59
2014,"California","04000US06","Web developers","151134","Female","2",7538,776.981,70139.4,5364.81
2014,"California","04000US06","Database administrators","151141","Male","1",8151,820.502,97547.7,5199.19
2014,"California","04000US06","Database administrators","151141","Female","2",5088,569.084,71856.2,4851.24
2014,"California","04000US06","Network & computer systems administrators","151142","Male","1",19046,1210.58,79513.9,2242.8
2014,"California","04000US06","Network & computer systems administrators","151142","Female","2",4240,478.971,67449.0,4050.22
2014,"California","04000US06","Computer network architects","151143","Male","1",10462,1133.39,109249.0,4235.17
2014,"California","04000US06","Computer network architects","151143","Female","2",696,214.315,111890.0,10290.4
2014,"California","04000US06","Computer support specialists","151150","Male","1",41361,1781.48,67727.0,1840.61
2014,"California","04000US06","Computer support specialists","151150","Female","2",12561,1102.41,66751.4,3187.16
2014,"California","04000US06","Other Computer Occupations","151199","Male","1",32801,1676.67,78255.3,2963.15
2014,"California","04000US06","Other Computer Occupations","151199","Female","2",7858,840.557,75397.7,4913.81
2014,"California","04000US06","Actuaries","152011","Male","1",571,182.428,140976.0,36704.2
2014,"California","04000US06","Actuaries","152011","Female","2",795,291.147,146803.0,59546.8
2014,"California","04000US06","Operations research analysts","152031","Male","1",7143,710.652,84974.0,4285.64
2014,"California","04000US06","Operations research analysts","152031","Female","2",10099,946.649,72103.2,2987.01
2014,"California","04000US06","Architects, except naval","171010","Male","1",15776,1015.68,101032.0,6256.5
2014,"California","04000US06","Architects, except naval","171010","Female","2",5585,631.404,77121.8,6643.35
2014,"California","04000US06","Surveyors, cartographers, & photogrammetrists","171020","Male","1",2375,393.767,78666.3,7372.78
2014,"California","04000US06","Surveyors, cartographers, & photogrammetrists","171020","Female","2",584,210.505,81646.5,13884.5
2014,"California","04000US06","Aerospace engineers","172011","Male","1",26266,1196.22,113787.0,2727.74
2014,"California","04000US06","Aerospace engineers","172011","Female","2",3521,479.272,105497.0,10589.2
2014,"California","04000US06","Chemical engineers","172041","Male","1",3666,511.44,110944.0,7194.99
2014,"California","04000US06","Chemical engineers","172041","Female","2",810,269.099,84537.2,11206.0
2014,"California","04000US06","Civil engineers","172051","Male","1",35689,1640.67,100213.0,2777.47
