year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"Washington","04000US53","General & operations managers","111021","Male","1",14386,1081.62,111314.0,5935.55
2014,"Washington","04000US53","General & operations managers","111021","Female","2",7008,776.88,80831.5,8495.82
2014,"Washington","04000US53","Compensation & benefits managers","113111","Male","1",21,24.2435,174698.0,27891.6
2014,"Washington","04000US53","Compensation & benefits managers","113111","Female","2",184,104.013,75822.1,13327.4
2014,"Washington","04000US53","Human resources managers","113121","Male","1",3529,463.978,93550.0,11412.4
2014,"Washington","04000US53","Human resources managers","113121","Female","2",5202,507.794,82054.6,6524.99
2014,"Washington","04000US53","Training & development managers","113131","Male","1",779,280.94,106928.0,28508.8
2014,"Washington","04000US53","Training & development managers","113131","Female","2",575,202.82,70430.4,9481.51
2014,"Washington","04000US53","Emergency management directors","119161","Male","1",297,167.896,77204.6,12088.6
2014,"Washington","04000US53","Emergency management directors","119161","Female","2",91,116.712,119136.0,2905.7
2014,"Washington","04000US53","Agents & business managers of artists, performers, & athletes","131011","Male","1",280,176.772,49231.2,17155.4
2014,"Washington","04000US53","Agents & business managers of artists, performers, & athletes","131011","Female","2",226,126.519,100350.0,47675.1
2014,"Washington","04000US53","Buyers & purchasing agents, farm products","131021","Male","1",101,70.5636,69725.5,26915.6
2014,"Washington","04000US53","Buyers & purchasing agents, farm products","131021","Female","2",14,24.1064,69634.5,0.0
2014,"Washington","04000US53","Wholesale & retail buyers, except farm products","131022","Male","1",3217,630.041,58058.7,9238.23
2014,"Washington","04000US53","Wholesale & retail buyers, except farm products","131022","Female","2",3928,554.176,53231.2,5314.33
2014,"Washington","04000US53","Purchasing agents, except wholesale, retail, & farm products","131023","Male","1",3010,513.224,59326.2,3599.96
2014,"Washington","04000US53","Purchasing agents, except wholesale, retail, & farm products","131023","Female","2",3537,532.462,59367.5,3797.19
2014,"Washington","04000US53","Claims adjusters, appraisers, examiners, & investigators","131030","Male","1",1746,402.525,66765.0,9540.88
2014,"Washington","04000US53","Claims adjusters, appraisers, examiners, & investigators","131030","Female","2",2966,413.251,51584.3,5297.93
2014,"Washington","04000US53","Compliance officers","131041","Male","1",2485,424.61,79630.7,5673.01
2014,"Washington","04000US53","Compliance officers","131041","Female","2",2194,386.006,65450.3,5964.2
2014,"Washington","04000US53","Cost estimators","131051","Male","1",3162,451.465,67650.9,5243.16
2014,"Washington","04000US53","Cost estimators","131051","Female","2",511,234.945,60118.0,8718.19
2014,"Washington","04000US53","Human resources workers","131070","Male","1",5577,737.064,82212.8,13024.6
